Scenario,Algorithm,N,InsertTime(ms),SearchTime(ms),DeleteTime(ms)
1,BST,10000,108.793,9.8501,0.1448
1,AVL,10000,0.6718,0.0584,0.5131
1,RB_Tree,10000,0.6541,0.0983,0.4476
1,B_Tree_512,10000,0.0842,0.0586,0.0383
1,AVL,30000,3.2635,0.146,1.3585
1,RB_Tree,30000,1.7159,0.1118,1.3567
1,B_Tree_512,30000,0.2137,0.0712,0.0939
1,AVL,50000,5.7883,0.1434,2.2729
1,RB_Tree,50000,2.8406,0.1668,2.0853
1,B_Tree_512,50000,0.3202,0.082,0.1625
1,AVL,70000,8.4918,0.1694,3.275
1,RB_Tree,70000,4.1554,0.2254,3.3526
1,B_Tree_512,70000,0.3718,0.0895,0.2459
1,AVL,90000,11.464,0.3647,4.3486
1,RB_Tree,90000,5.1906,0.2196,4.0391
1,B_Tree_512,90000,0.6331,0.1077,0.2851
1,AVL,110000,13.0984,0.2408,5.417
1,RB_Tree,110000,6.7059,0.2922,5.469
1,B_Tree_512,110000,0.6171,0.1177,0.3213
1,AVL,130000,17.5595,0.3385,6.4265
1,RB_Tree,130000,7.812,0.2591,6.0227
1,B_Tree_512,130000,0.7862,0.1335,0.4608
1,AVL,150000,15.3883,0.3089,7.8341
1,RB_Tree,150000,9.4001,0.3268,7.8999
1,B_Tree_512,150000,0.9143,0.1161,0.6063
1,AVL,170000,23.1872,0.4202,9.0342
1,RB_Tree,170000,10.885,0.5075,8.7361
1,B_Tree_512,170000,1.5682,0.1548,0.6196
1,AVL,190000,30.925,0.4348,10.2798
1,RB_Tree,190000,12.4774,0.4358,9.608
1,B_Tree_512,190000,1.3526,0.1825,0.7292
1,AVL,210000,26.6388,0.4134,11.1803
1,RB_Tree,210000,13.755,0.4698,10.7145
1,B_Tree_512,210000,1.335,0.1339,0.8068
1,AVL,230000,32.548,0.5184,12.7305
1,RB_Tree,230000,25.5865,0.5844,14.2715
1,B_Tree_512,230000,1.6576,0.1273,0.9444
1,AVL,250000,37.3948,0.643,13.9959
1,RB_Tree,250000,18.2238,0.429,13.1609
1,B_Tree_512,250000,1.6614,0.1529,0.9652
1,AVL,270000,41.1127,0.5476,15.3668
1,RB_Tree,270000,17.9838,0.6478,13.7575
1,B_Tree_512,270000,1.8343,0.1701,1.0649
1,AVL,290000,43.6189,0.5415,16.5243
1,RB_Tree,290000,19.8493,0.5301,15.1595
1,B_Tree_512,290000,2.5092,0.1728,1.1739
1,AVL,310000,46.4717,0.6175,17.5317
1,RB_Tree,310000,19.9177,0.5509,16.1423
1,B_Tree_512,310000,2.014,0.1649,1.2011
1,AVL,330000,49.1301,0.6259,19.5343
1,RB_Tree,330000,22.294,0.6236,16.9021
1,B_Tree_512,330000,2.276,0.1502,1.3934
1,AVL,350000,53.522,0.5783,20.2555
1,RB_Tree,350000,23.8282,0.6443,17.7988
1,B_Tree_512,350000,2.3381,0.1756,1.4155
1,AVL,370000,57.4243,0.7332,22.131
1,RB_Tree,370000,25.6263,0.6151,17.6856
1,B_Tree_512,370000,2.5437,0.139,1.4792
1,AVL,390000,66.6251,0.5566,22.5683
1,RB_Tree,390000,26.1562,0.6954,18.8357
1,B_Tree_512,390000,2.6015,0.1526,1.5322
2,BST,10000,106.439,10.3147,380.61
2,AVL,10000,0.6097,0.0616,0.4693
2,RB_Tree,10000,0.4372,0.0733,0.5143
2,B_Tree_512,10000,0.0498,0.0686,0.4457
2,AVL,30000,2.7995,0.11,1.3156
2,RB_Tree,30000,1.4088,0.0957,1.5878
2,B_Tree_512,30000,0.2267,0.1006,1.912
2,AVL,50000,6.1008,0.138,2.1407
2,RB_Tree,50000,2.3994,0.1507,2.8002
2,B_Tree_512,50000,0.2951,0.0857,3.4174
2,AVL,70000,7.9001,0.2023,3.0766
2,RB_Tree,70000,3.9296,0.1521,4.7094
2,B_Tree_512,70000,0.4129,0.0861,6.1027
2,AVL,90000,10.8597,0.2238,5.1477
2,RB_Tree,90000,5.6822,0.1692,5.274
2,B_Tree_512,90000,0.4956,0.0951,8.7829
2,AVL,110000,13.8671,0.2566,4.8542
2,RB_Tree,110000,7.6908,0.2682,7.2502
2,B_Tree_512,110000,0.7257,0.1374,11.7075
2,AVL,130000,15.1419,0.2536,6.7949
2,RB_Tree,130000,8.5328,0.2766,9.366
2,B_Tree_512,130000,0.7669,0.1177,16.0201
2,AVL,150000,19.1111,0.307,7.7012
2,RB_Tree,150000,9.3495,0.2984,10.6468
2,B_Tree_512,150000,0.9137,0.1161,12.5885
2,AVL,170000,21.7581,0.3197,8.7733
2,RB_Tree,170000,12.0662,0.6114,16.9593
2,B_Tree_512,170000,1.008,0.1208,20.0543
2,AVL,190000,27.2382,0.4473,10.3541
2,RB_Tree,190000,11.5578,0.2555,12.5754
2,B_Tree_512,190000,1.1303,0.1254,19.164
2,AVL,210000,23.8801,0.3994,11.3512
2,RB_Tree,210000,13.8542,0.4128,15.715
2,B_Tree_512,210000,1.3665,0.1164,23.9488
2,AVL,230000,36.1028,0.4377,12.4865
2,RB_Tree,230000,14.8777,0.3176,16.0442
2,B_Tree_512,230000,1.6063,0.1682,19.8508
2,AVL,250000,34.7166,0.5004,12.972
2,RB_Tree,250000,16.7185,0.4812,17.1741
2,B_Tree_512,250000,1.5343,0.1296,24.4538
2,AVL,270000,35.6289,0.5709,16.9935
2,RB_Tree,270000,40.6808,0.575,21.2691
